,game_id,Team,Sh,SoT,CrdY,CrdR,PK,Gls,Cmp_x
169,189,Levante,14,4,5,0,0,1,340.0
170,190,Cádiz,7,4,5,1,0,3,206.0
506,190,Alavés,12,1,4,0,0,1,231.0
171,191,Valladolid,4,2,0,0,0,0,323.0
507,191,Valencia,15,8,2,0,0,2,656.0
172,192,Elche,8,4,4,0,0,1,406.0
508,192,Getafe,9,2,3,0,0,1,288.0
173,193,Huesca,14,5,2,0,0,3,393.0
509,193,Betis,8,4,0,0,0,1,377.0
174,195,Granada,14,4,2,0,0,1,423.0
510,195,Osasuna,11,5,2,0,0,3,330.0
175,197,Atlético Madrid,8,2,1,1,0,1,376.0
511,197,Sevilla,13,7,2,0,0,2,435.0
176,199,Valladolid,4,2,1,0,0,1,287.0
512,199,Elche,12,3,3,0,0,1,562.0
177,200,Cádiz,6,0,3,0,0,0,275.0
513,200,Levante,5,1,3,0,0,0,145.0
178,201,Alavés,11,6,1,0,0,2,414.0
514,201,Sevilla,8,3,5,0,1,4,460.0
179,202,Getafe,10,5,2,0,0,0,187.0
515,202,Huesca,7,1,4,0,0,0,387.0
180,203,Betis,12,6,2,0,0,2,545.0
516,203,Celta Vigo,7,2,3,0,0,0,366.0
517,204,Granada,15,5,1,0,0,0,247.0
181,204,Villarreal,8,3,1,0,0,1,531.0
518,205,Osasuna,3,1,4,0,0,0,220.0
182,205,Valencia,20,5,4,0,0,1,271.0
519,206,Atlético Madrid,11,5,3,0,0,2,200.0
183,206,Eibar,11,7,1,0,0,2,364.0
184,208,Levante,8,2,1,0,0,2,399.0
520,208,Valladolid,9,4,2,0,0,2,506.0
185,209,Huesca,18,5,1,0,0,3,682.0
521,209,Villarreal,4,0,4,1,0,0,160.0
522,210,Cádiz,2,1,2,1,0,1,178.0
186,210,Sevilla,16,5,0,0,1,4,657.0
187,211,Real Sociedad,11,2,2,0,0,0,365.0
523,211,Betis,15,2,1,0,0,1,331.0
188,212,Alavés,12,4,0,0,0,2,336.0
524,212,Real Madrid,12,3,0,0,0,1,289.0
189,213,Osasuna,8,5,1,0,0,2,351.0
525,213,Granada,12,4,3,0,0,2,670.0
526,214,Barcelona,7,2,2,0,0,2,454.0
190,214,Elche,9,2,2,0,0,2,360.0
191,215,Celta Vigo,14,4,1,0,0,2,578.0
527,215,Eibar,1,0,1,0,0,0,219.0
192,216,Atlético Madrid,9,6,3,0,0,3,347.0
528,216,Valencia,7,2,2,0,0,1,339.0
193,217,Athletic Club,6,1,0,0,0,1,203.0
529,217,Getafe,10,4,5,0,0,2,375.0
530,219,Huesca,4,0,3,0,1,1,215.0
194,219,Valladolid,14,2,2,0,0,1,290.0
195,220,Eibar,17,9,0,0,0,5,814.0
531,220,Sevilla,6,2,2,0,0,1,235.0
532,221,Levante,3,2,3,0,0,1,314.0
196,221,Real Madrid,4,0,3,0,0,0,222.0
533,222,Elche,4,1,3,0,0,0,371.0
197,222,Valencia,16,7,0,0,0,2,628.0
534,223,Real Sociedad,7,2,2,0,0,1,218.0
198,223,Villarreal,12,3,1,0,0,0,450.0
199,224,Getafe,8,4,3,0,1,1,443.0
535,224,Alavés,15,4,2,0,0,2,346.0
536,225,Atlético Madrid,13,7,2,0,0,4,418.0
200,225,Cádiz,11,2,3,0,0,0,286.0
201,226,Granada,7,4,1,0,0,1,280.0
537,226,Celta Vigo,14,6,3,0,0,1,526.0
202,227,Barcelona,10,3,5,1,1,1,437.0
538,227,Athletic Club,6,1,4,0,0,0,206.0
203,228,Betis,6,2,2,0,0,1,287.0
539,228,Osasuna,13,3,1,0,0,0,308.0
204,230,Alavés,10,3,2,0,0,2,355.0
540,230,Valladolid,5,2,3,1,0,0,297.0
541,231,Granada,10,2,2,0,0,1,512.0
205,231,Levante,9,5,4,0,0,0,231.0
206,232,Huesca,19,3,0,0,1,1,847.0
542,232,Real Madrid,2,0,2,0,1,1,125.0
207,233,Elche,8,4,3,0,0,4,440.0
543,233,Villarreal,7,2,2,0,0,0,214.0
544,234,Getafe,8,5,3,1,0,2,226.0
208,234,Sevilla,14,6,3,0,0,2,367.0
545,235,Cádiz,3,2,2,0,0,1,465.0
209,235,Real Sociedad,18,8,2,0,0,1,440.0
210,236,Athletic Club,6,0,2,0,0,0,311.0
546,236,Valencia,10,5,2,0,0,2,483.0
211,237,Osasuna,9,5,0,0,0,3,715.0
547,237,Eibar,6,1,0,0,0,0,359.0
212,238,Betis,9,3,3,0,1,1,331.0
548,238,Barcelona,10,4,1,1,1,1,424.0
549,239,Celta Vigo,4,1,2,0,0,1,293.0
213,239,Atlético Madrid,17,3,2,0,0,1,382.0
214,241,Real Madrid,4,1,3,0,0,0,272.0
550,241,Getafe,6,2,4,0,0,1,238.0
215,243,Celta Vigo,11,2,3,0,0,1,449.0
551,243,Elche,7,3,5,0,0,1,190.0
552,244,Atlético Madrid,9,4,2,0,0,1,509.0
216,244,Granada,5,3,1,0,0,0,221.0
217,245,Sevilla,13,4,3,0,0,2,210.0
553,245,Huesca,12,4,2,0,0,1,293.0
218,246,Eibar,19,6,2,0,0,0,551.0
554,246,Valladolid,6,5,3,0,0,1,294.0
219,247,Barcelona,20,2,0,0,0,1,541.0
555,247,Alavés,6,2,1,0,0,1,341.0
220,248,Getafe,24,3,4,0,1,2,368.0
556,248,Real Sociedad,9,4,3,0,1,1,355.0
557,249,Valencia,9,2,2,1,0,1,192.0
221,249,Real Madrid,4,3,2,0,0,2,201.0
558,250,Osasuna,11,3,0,0,0,1,460.0
222,250,Levante,6,3,4,0,0,2,240.0
559,251,Betis,15,0,2,0,0,0,428.0
223,251,Villarreal,6,2,2,0,0,1,154.0
224,252,Cádiz,10,3,0,0,0,0,355.0
560,252,Athletic Club,13,6,2,0,0,2,664.0
225,254,Levante,11,5,5,0,0,1,373.0
561,254,Atlético Madrid,18,8,1,0,0,1,602.0
226,256,Betis,6,4,2,0,0,2,325.0
562,256,Getafe,13,3,1,0,0,1,364.0
227,257,Elche,22,6,0,0,1,3,622.0
563,257,Eibar,4,3,3,0,0,2,140.0
564,258,Levante,4,2,2,0,0,1,517.0
228,258,Atlético Madrid,10,4,2,0,1,2,448.0
565,259,Celta Vigo,11,2,4,0,0,0,366.0
229,259,Valencia,11,3,3,0,0,1,309.0
566,260,Real Madrid,8,0,3,0,1,1,276.0
230,260,Valladolid,8,1,3,1,1,1,299.0
231,261,Barcelona,17,4,1,0,0,2,555.0
567,261,Cádiz,3,2,1,0,0,1,255.0
232,262,Real Sociedad,14,2,2,0,0,0,290.0
568,262,Alavés,12,2,3,0,0,0,250.0
233,263,Huesca,11,2,1,1,0,0,131.0
569,263,Granada,15,7,5,0,0,0,529.0
570,264,Villarreal,6,1,1,0,0,0,252.0
234,264,Athletic Club,12,3,3,0,0,0,573.0
571,265,Sevilla,7,1,3,0,0,0,401.0
235,265,Osasuna,7,2,2,0,0,1,163.0
572,267,Elche,13,2,5,0,0,0,382.0
236,267,Barcelona,9,3,3,0,0,1,448.0
573,269,Athletic Club,11,5,1,0,0,0,298.0
237,269,Levante,13,8,2,0,0,2,650.0
574,270,Huesca,7,1,0,0,0,0,338.0
238,270,Eibar,15,6,2,0,0,2,460.0
239,271,Sevilla,18,4,1,0,0,1,434.0
575,271,Barcelona,4,2,1,0,0,1,329.0
240,272,Alavés,8,3,3,0,0,1,441.0
576,272,Osasuna,16,4,4,0,0,3,424.0
577,273,Valencia,7,2,2,0,0,0,271.0
241,273,Getafe,15,3,1,0,0,0,358.0
242,274,Celta Vigo,2,1,3,0,1,1,218.0
578,274,Valladolid,11,4,1,0,0,1,578.0
579,275,Betis,6,2,7,0,0,1,209.0
243,275,Cádiz,11,4,3,0,0,1,192.0
580,276,Elche,15,3,3,0,0,1,336.0
244,276,Granada,18,8,0,0,0,2,335.0
581,277,Atlético Madrid,9,3,3,0,0,1,291.0
245,277,Villarreal,12,3,3,0,1,2,441.0
246,278,Real Madrid,8,4,3,0,0,1,464.0
582,278,Real Sociedad,8,2,2,0,0,0,241.0
583,280,Villarreal,6,2,2,0,0,2,264.0
247,280,Valencia,13,3,2,0,0,0,484.0
248,281,Valladolid,5,2,2,0,0,0,278.0
584,281,Getafe,13,3,2,0,2,3,374.0
249,282,Elche,21,8,0,0,0,2,579.0
585,282,Sevilla,10,4,2,0,0,0,276.0
586,283,Eibar,6,2,3,0,0,0,153.0
250,283,Cádiz,4,1,2,0,0,0,296.0
587,284,Barcelona,8,6,5,1,0,3,249.0
251,284,Osasuna,17,7,4,0,0,1,317.0
252,285,Huesca,7,3,1,0,0,1,345.0
588,285,Celta Vigo,12,2,4,0,1,1,431.0
589,286,Real Madrid,11,6,2,0,0,1,432.0
253,286,Atlético Madrid,6,2,2,0,0,2,185.0
254,287,Real Sociedad,17,4,2,0,0,1,536.0
590,287,Levante,9,4,4,0,0,0,371.0
255,288,Athletic Club,25,10,3,0,0,1,654.0
591,288,Granada,7,2,3,1,0,0,255.0
256,289,Betis,12,2,3,0,0,1,381.0
592,289,Alavés,11,2,1,0,0,1,340.0
257,291,Atlético Madrid,19,3,3,0,0,0,318.0
593,291,Athletic Club,8,3,2,0,0,0,206.0
258,293,Levante,10,4,3,0,0,0,358.0
594,293,Valencia,6,1,2,0,0,1,334.0
259,294,Alavés,14,3,3,1,0,2,263.0
595,294,Cádiz,18,4,3,0,0,1,673.0
596,295,Elche,12,4,0,0,0,2,191.0
260,295,Real Madrid,15,6,0,0,0,0,512.0
597,296,Valladolid,16,5,4,0,0,2,362.0
261,296,Osasuna,7,1,6,1,1,2,234.0
262,297,Getafe,6,2,4,0,1,1,360.0
598,297,Atlético Madrid,12,6,2,0,0,2,285.0
599,298,Athletic Club,10,4,0,0,0,1,405.0
263,298,Celta Vigo,8,4,0,0,0,1,497.0
264,299,Granada,11,4,3,0,1,3,300.0
600,299,Real Sociedad,13,6,2,0,0,4,454.0
265,300,Eibar,5,2,3,0,0,1,295.0
601,300,Villarreal,15,6,2,0,0,2,331.0
266,301,Sevilla,9,3,2,0,0,1,303.0
602,301,Betis,8,2,1,0,0,0,328.0
267,302,Barcelona,10,7,0,0,0,5,613.0
603,302,Huesca,0,0,1,0,0,0,357.0
268,304,Sevilla,5,2,0,0,0,0,146.0
604,304,Elche,11,4,1,0,0,0,693.0
605,306,Levante,14,7,1,0,0,3,504.0
269,306,Betis,12,3,2,0,0,1,375.0
270,307,Athletic Club,19,6,3,0,0,0,289.0
606,307,Eibar,10,1,1,0,0,0,459.0
607,308,Real Madrid,10,5,2,0,0,1,389.0
271,308,Celta Vigo,16,7,1,0,1,3,299.0
608,309,Osasuna,10,3,1,0,0,1,466.0
272,309,Huesca,6,1,4,0,0,0,318.0
609,310,Sevilla,16,4,2,0,0,0,439.0
273,310,Valladolid,6,2,3,1,0,0,276.0
274,311,Getafe,9,4,1,0,0,2,236.0
610,311,Elche,10,4,1,0,0,1,560.0
275,312,Valencia,9,3,5,0,0,1,264.0
611,312,Granada,12,4,3,0,0,1,319.0
276,313,Villarreal,13,3,4,0,0,0,310.0
612,313,Cádiz,13,3,3,0,1,3,510.0
613,314,Alavés,5,2,0,0,0,0,489.0
277,314,Atlético Madrid,17,12,2,0,0,2,551.0
614,315,Barcelona,10,3,5,0,0,1,375.0
278,315,Real Sociedad,5,1,4,0,1,2,246.0
279,317,Levante,8,5,2,0,1,4,878.0
615,317,Huesca,4,0,0,0,1,1,155.0
616,318,Villarreal,6,1,4,0,0,0,491.0
280,318,Granada,8,3,3,0,0,1,221.0
281,319,Real Madrid,13,6,1,0,0,1,339.0
617,319,Eibar,6,2,3,0,0,1,193.0
282,320,Osasuna,9,2,4,0,0,1,325.0
618,320,Getafe,6,2,0,0,0,1,293.0
283,321,Alavés,17,5,1,0,0,0,559.0
619,321,Celta Vigo,6,2,2,0,0,0,407.0
284,322,Elche,8,1,2,0,0,0,453.0
620,322,Betis,6,4,4,0,0,2,160.0
621,323,Valencia,15,5,3,0,0,2,549.0
285,323,Cádiz,10,4,2,1,0,1,401.0
622,324,Atlético Madrid,11,2,4,0,1,1,266.0
286,324,Sevilla,7,2,1,0,0,2,273.0
287,325,Barcelona,9,3,2,0,1,2,489.0
623,325,Valladolid,3,1,3,0,1,1,221.0
624,326,Athletic Club,14,3,2,0,0,1,489.0
288,326,Real Sociedad,11,3,4,0,0,2,278.0
289,328,Huesca,13,7,1,0,0,2,377.0
625,328,Elche,14,4,1,0,0,2,352.0
290,329,Getafe,16,4,0,0,0,1,815.0
626,329,Cádiz,5,2,4,0,0,2,131.0
291,330,Athletic Club,8,5,2,0,0,2,348.0
627,330,Alavés,10,2,2,0,0,0,289.0
628,331,Levante,6,2,2,0,0,0,307.0
292,331,Eibar,15,4,0,0,0,3,221.0
629,332,Barcelona,11,4,3,0,0,1,361.0
293,332,Real Madrid,5,1,3,0,0,0,367.0
630,333,Osasuna,7,3,2,0,0,0,344.0
294,333,Villarreal,10,3,2,0,0,0,285.0
295,334,Valencia,22,6,0,0,0,2,559.0
631,334,Real Sociedad,3,2,1,0,0,0,285.0
296,335,Valladolid,10,2,2,0,0,1,328.0
632,335,Granada,11,4,5,0,0,1,431.0
633,336,Atlético Madrid,15,3,2,0,0,0,186.0
297,336,Betis,4,3,1,0,0,1,472.0
298,337,Celta Vigo,9,2,7,1,0,0,319.0
634,337,Sevilla,8,4,2,0,0,1,135.0
299,339,Real Sociedad,18,3,1,0,0,0,681.0
635,339,Sevilla,8,2,0,0,0,1,196.0
300,340,Osasuna,16,3,1,0,0,2,569.0
636,340,Elche,1,0,3,1,0,0,159.0
637,341,Eibar,6,3,1,0,0,2,283.0
301,341,Atlético Madrid,15,5,2,0,0,2,310.0
302,342,Alavés,12,7,3,0,0,0,569.0
638,342,Huesca,11,6,3,0,0,0,375.0
639,343,Celta Vigo,13,5,0,0,0,1,464.0
303,343,Cádiz,11,1,4,0,0,1,193.0
640,344,Valencia,13,4,2,0,0,2,398.0
304,344,Betis,13,3,1,0,0,2,308.0
641,345,Villarreal,6,2,2,0,1,1,300.0
305,345,Levante,10,2,1,0,0,0,164.0
306,346,Getafe,6,3,0,0,0,3,285.0
642,346,Real Madrid,19,2,0,0,0,0,485.0
307,348,Osasuna,17,7,1,0,0,2,586.0
643,348,Valencia,6,2,2,0,1,2,404.0
308,349,Levante,14,5,2,0,0,2,429.0
644,349,Sevilla,11,5,4,0,0,1,213.0
645,350,Athletic Club,9,3,2,0,1,2,202.0
309,350,Betis,13,3,2,0,1,3,436.0
310,351,Alavés,11,3,2,0,0,0,447.0
646,351,Villarreal,9,2,3,0,0,2,198.0
647,352,Valladolid,17,5,2,0,0,3,572.0
311,352,Elche,16,6,2,0,0,3,349.0
312,353,Cádiz,10,4,2,0,0,1,576.0
648,353,Real Madrid,6,2,2,0,0,0,311.0
649,354,Huesca,4,3,1,0,0,0,353.0
313,354,Atlético Madrid,18,6,0,0,0,1,386.0
314,355,Real Sociedad,4,1,1,0,0,1,443.0
650,355,Celta Vigo,13,4,3,0,0,0,244.0
651,356,Eibar,14,7,0,0,0,1,605.0
315,356,Granada,12,4,0,0,0,2,296.0
652,357,Getafe,9,3,1,0,0,2,436.0
316,357,Barcelona,11,2,3,0,0,0,254.0
653,359,Levante,16,7,3,0,0,4,608.0
317,359,Elche,10,5,3,0,0,1,289.0
318,360,Valladolid,9,1,1,0,1,1,296.0
654,360,Cádiz,7,0,5,1,0,0,322.0
655,361,Alavés,20,5,4,0,0,3,500.0
319,361,Valencia,6,2,3,0,1,1,196.0
656,362,Betis,17,5,3,1,0,0,538.0
320,362,Real Madrid,12,5,0,0,0,4,385.0
657,363,Getafe,19,5,4,0,0,1,388.0
321,363,Huesca,13,8,2,0,1,4,476.0
322,364,Villarreal,9,5,0,0,0,4,306.0
658,364,Barcelona,20,8,0,0,0,1,490.0
659,365,Osasuna,5,2,4,0,0,2,328.0
323,365,Celta Vigo,14,9,2,0,0,4,385.0
660,366,Granada,5,2,2,0,0,1,156.0
324,366,Sevilla,26,9,1,0,0,2,580.0
661,367,Atlético Madrid,11,2,1,0,0,1,577.0
325,367,Athletic Club,8,1,3,1,0,0,290.0
662,368,Real Sociedad,4,4,2,0,0,2,352.0
326,368,Eibar,21,4,3,1,0,1,692.0
663,370,Valladolid,6,2,2,0,0,2,183.0
327,370,Athletic Club,17,4,0,0,0,2,541.0
664,371,Granada,6,2,0,0,0,1,397.0
328,371,Barcelona,14,4,0,0,0,2,501.0
665,373,Levante,11,1,0,0,0,1,455.0
329,373,Celta Vigo,7,1,1,0,0,0,318.0
330,374,Eibar,8,3,3,0,0,2,351.0
666,374,Alavés,8,2,0,0,0,0,431.0
667,375,Atlético Madrid,10,4,7,1,1,3,218.0
331,375,Elche,10,3,6,0,1,2,436.0
668,376,Real Sociedad,14,3,5,0,0,2,371.0
332,376,Huesca,10,4,4,0,0,1,340.0
669,377,Osasuna,7,3,3,0,0,1,640.0
333,377,Real Madrid,17,3,0,0,0,0,267.0
670,378,Betis,11,2,2,0,0,0,315.0
334,378,Valladolid,9,2,4,0,0,0,171.0
335,379,Villarreal,11,2,1,0,0,1,585.0
671,379,Getafe,11,2,0,0,0,0,228.0
